URL,Size,OutLinks,ContentType
http://abcnews.go.com/Politics/ivanka-trump-hosted-lawmakers-white-house-week-meeting/story?id=45698865,74996,72,text/html
http://abcnews.go.com/2020,139546,77,text/html
http://abcnews.go.com/Site/page?id=3520115,62824,80,text/html
http://abcnews.go.com/GMA/video/amal-clooney-shows-off-baby-bump-cesar-awards-45732677,66842,85,text/html
http://abcnews.go.com/live/video/special-live-2,50352,45,text/html
http://abcnews.go.com/GMA/video/hugh-jackman-oscars-movie-wolverine-45702535,72509,86,text/html
http://abcnews.go.com/Lifestyle/real-reason-kids/story?id=45692882,78872,72,text/html
http://abcnews.go.com/Politics/wireStory/trump-vows-fight-epidemic-human-trafficking-45692628,68728,62,text/html
http://abcnews.go.com/Entertainment/video/isabelle-huppert-win-oscar-race-best-actress-45640482,79758,86,text/html
http://abcnews.go.com/live/video/special-live-6,50347,45,text/html
http://abcnews.go.com/Health/wireStory/trump-tower-opens-vancouver-warm-45713802,77832,64,text/html
http://abcnews.go.com/Entertainment/oscars-2017-predicting-winners/story?id=45691243,78417,75,text/html
http://abcnews.go.com/international,182939,112,text/html
http://abcnews.go.com/live/video/special-live-5,50341,45,text/html
http://abcnews.go.com/live/video/special-live-4,50341,45,text/html
http://abcnews.go.com/live/video/special-live-3,50345,45,text/html
http://abcnews.go.com/US/female-gymnasts-accuse-doctor-molesting-treatment/story?id=45715248,83883,71,text/html
http://abcnews.go.com/ThisWeek,151978,83,text/html
http://abcnews.go.com/Entertainment/wireStory/judge-cosby-accuser-testify-sex-assault-trial-45711722,72806,61,text/html
http://abcnews.go.com/Live,50406,45,text/html
http://abcnews.go.com/Entertainment/photos/oscars-stars-whove-never-nominated-18155064,85419,80,text/html
http://abcnews.go.com/Politics/wireStory/trump-meets-manufacturing-ceos-45687074,68630,62,text/html
http://abcnews.go.com/sitemap,63299,204,text/html
http://abcnews.go.com/US/wireStory/judge-throw-bergdahl-case-trump-comments-45724748,75540,68,text/html
http://abcnews.go.com/Entertainment/foreign-language-film-oscar-nominees-denounce-climate-fanaticism/story?id=45727327,70886,66,text/html
http://abcnews.go.com/amp/Entertainment/flip-flop-star-christina-el-moussa-reveals-told/story?id=45711406,25984,9,text/html
http://abcnews.go.com/Entertainment/oscar-nominated-natalie-portman-attend-academy-awards-due/story?id=45737723,69686,64,text/html
http://abcnews.go.com/Entertainment/flip-flop-star-christina-el-moussa-speaks-split/story?id=45617708,71157,63,text/html
http://abcnews.go.com/Entertainment/casey-affleck-shares-lesson-career-listen/story?id=45717173,72581,65,text/html
http://abcnews.go.com/Entertainment/shannen-doherty-reveals-im-chemo-radiation/story?id=45733333,70695,68,text/html
http://abcnews.go.com/Entertainment/oscar-nominee-mahershala-ali-welcomes-daughter/story?id=45727125,68641,65,text/html
http://abcnews.go.com/author/joi_marie_mckenzie,57293,77,text/html
http://abcnews.go.com/Entertainment/flip-flop-stars-tarek-christina-el-moussa-smiles/story?id=45424576,77287,66,text/html
